scenario_number,qualifying_groups,slot_74,slot_77,slot_79,slot_80,slot_81,slot_82,slot_85,slot_87,source_url
188,A-D-E-F-H-J-K-L,D,F,H,K,E,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
189,A-D-E-F-H-I-K-L,D,F,H,K,I,A,E,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
190,A-D-E-F-H-I-J-L,D,F,H,I,E,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
191,A-D-E-F-H-I-J-K,D,F,H,K,E,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
192,A-D-E-F-G-J-K-L,D,F,E,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
193,A-D-E-F-G-I-K-L,D,F,E,K,I,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
194,A-D-E-F-G-I-J-L,D,F,E,I,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
195,A-D-E-F-G-I-J-K,D,F,E,K,J,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
196,A-D-E-F-G-H-K-L,D,F,H,K,E,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
197,A-D-E-F-G-H-J-L,D,F,H,E,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
198,A-D-E-F-G-H-J-K,D,F,H,K,J,A,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
199,A-D-E-F-G-H-I-L,D,F,H,I,E,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
200,A-D-E-F-G-H-I-K,D,F,H,K,E,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
201,A-D-E-F-G-H-I-J,D,F,H,I,J,A,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
202,A-C-G-H-I-J-K-L,C,G,H,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
203,A-C-F-H-I-J-K-L,C,F,H,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
204,A-C-F-G-I-J-K-L,C,F,I,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
205,A-C-F-G-H-J-K-L,C,F,H,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
206,A-C-F-G-H-I-K-L,C,F,H,K,I,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
207,A-C-F-G-H-I-J-L,C,F,H,I,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
208,A-C-F-G-H-I-J-K,C,F,H,K,J,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
209,A-C-E-H-I-J-K-L,C,H,E,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
210,A-C-E-G-I-J-K-L,C,G,E,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
211,A-C-E-G-H-J-K-L,C,H,E,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
212,A-C-E-G-H-I-K-L,C,H,E,K,I,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
213,A-C-E-G-H-I-J-L,C,H,E,I,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
214,A-C-E-G-H-I-J-K,C,H,E,K,J,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
215,A-C-E-F-I-J-K-L,C,F,E,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
216,A-C-E-F-H-J-K-L,C,F,H,K,E,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
217,A-C-E-F-H-I-K-L,C,F,H,K,I,A,E,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
218,A-C-E-F-H-I-J-L,C,F,H,I,E,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
219,A-C-E-F-H-I-J-K,C,F,H,K,E,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
220,A-C-E-F-G-J-K-L,C,F,E,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
221,A-C-E-F-G-I-K-L,C,F,E,K,I,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
222,A-C-E-F-G-I-J-L,C,F,E,I,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
223,A-C-E-F-G-I-J-K,C,F,E,K,J,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
224,A-C-E-F-G-H-K-L,C,F,H,K,E,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
225,A-C-E-F-G-H-J-L,C,F,H,E,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
226,A-C-E-F-G-H-J-K,C,F,H,K,J,A,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
227,A-C-E-F-G-H-I-L,C,F,H,I,E,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
228,A-C-E-F-G-H-I-K,C,F,H,K,E,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
229,A-C-E-F-G-H-I-J,C,F,H,I,J,A,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
230,A-C-D-H-I-J-K-L,C,D,H,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
231,A-C-D-G-I-J-K-L,C,D,I,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
232,A-C-D-G-H-J-K-L,C,D,H,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
233,A-C-D-G-H-I-K-L,C,D,H,K,I,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
234,A-C-D-G-H-I-J-L,C,D,H,I,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
235,A-C-D-G-H-I-J-K,C,D,H,K,J,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
236,A-C-D-F-I-J-K-L,D,F,C,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
237,A-C-D-F-H-J-K-L,C,D,H,K,F,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
238,A-C-D-F-H-I-K-L,C,D,H,K,I,A,F,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
239,A-C-D-F-H-I-J-L,C,D,H,I,F,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
240,A-C-D-F-H-I-J-K,C,D,H,K,F,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
241,A-C-D-F-G-J-K-L,D,F,C,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
242,A-C-D-F-G-I-K-L,D,F,C,K,I,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
243,A-C-D-F-G-I-J-L,D,F,C,I,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
244,A-C-D-F-G-I-J-K,D,F,C,K,J,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
245,A-C-D-F-G-H-K-L,C,D,H,K,F,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
246,A-C-D-F-G-H-J-L,D,F,C,H,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
247,A-C-D-F-G-H-J-K,C,F,H,K,J,A,G,D,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
248,A-C-D-F-G-H-I-L,C,D,H,I,F,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
249,A-C-D-F-G-H-I-K,C,D,H,K,F,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
250,A-C-D-F-G-H-I-J,C,F,H,I,J,A,G,D,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
251,A-C-D-E-I-J-K-L,C,D,E,K,I,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
252,A-C-D-E-H-J-K-L,C,D,H,K,E,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
253,A-C-D-E-H-I-K-L,C,D,H,K,I,A,E,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
254,A-C-D-E-H-I-J-L,C,D,H,I,E,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
255,A-C-D-E-H-I-J-K,C,D,H,K,E,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
256,A-C-D-E-G-J-K-L,C,D,E,K,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
257,A-C-D-E-G-I-K-L,C,D,E,K,I,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
258,A-C-D-E-G-I-J-L,C,D,E,I,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
259,A-C-D-E-G-I-J-K,C,D,E,K,J,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
260,A-C-D-E-G-H-K-L,C,D,H,K,E,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
261,A-C-D-E-G-H-J-L,C,D,H,E,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
262,A-C-D-E-G-H-J-K,C,D,H,K,J,A,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
263,A-C-D-E-G-H-I-L,C,D,H,I,E,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
264,A-C-D-E-G-H-I-K,C,D,H,K,E,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
265,A-C-D-E-G-H-I-J,C,D,H,I,J,A,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
266,A-C-D-E-F-J-K-L,D,F,C,K,E,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
267,A-C-D-E-F-I-K-L,D,F,C,K,I,A,E,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
268,A-C-D-E-F-I-J-L,D,F,C,I,E,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
269,A-C-D-E-F-I-J-K,D,F,C,K,E,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
270,A-C-D-E-F-H-K-L,C,D,H,K,F,A,E,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
271,A-C-D-E-F-H-J-L,C,D,H,E,F,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
272,A-C-D-E-F-H-J-K,C,F,H,K,E,A,J,D,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
273,A-C-D-E-F-H-I-L,C,D,H,I,F,A,E,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
274,A-C-D-E-F-H-I-K,C,D,H,K,F,A,E,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
275,A-C-D-E-F-H-I-J,C,F,H,I,E,A,J,D,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
276,A-C-D-E-F-G-K-L,D,F,C,K,E,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
277,A-C-D-E-F-G-J-L,D,F,C,E,J,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
278,A-C-D-E-F-G-J-K,D,F,C,K,J,A,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
279,A-C-D-E-F-G-I-L,D,F,C,I,E,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
280,A-C-D-E-F-G-I-K,D,F,C,K,E,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
281,A-C-D-E-F-G-I-J,D,F,C,I,J,A,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
282,A-C-D-E-F-G-H-L,C,D,H,E,F,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
283,A-C-D-E-F-G-H-K,C,F,H,K,E,A,G,D,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
284,A-C-D-E-F-G-H-J,C,F,H,E,J,A,G,D,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
285,A-C-D-E-F-G-H-I,C,F,H,I,E,A,G,D,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
286,A-B-G-H-I-J-K-L,A,G,H,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
287,A-B-F-H-I-J-K-L,A,F,H,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
288,A-B-F-G-I-J-K-L,F,G,I,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
289,A-B-F-G-H-J-K-L,F,G,H,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
290,A-B-F-G-H-I-K-L,A,F,H,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
291,A-B-F-G-H-I-J-L,F,G,H,I,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
292,A-B-F-G-H-I-J-K,F,G,H,K,B,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
293,A-B-E-H-I-J-K-L,A,H,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
294,A-B-E-G-I-J-K-L,A,G,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
295,A-B-E-G-H-J-K-L,A,G,E,K,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
296,A-B-E-G-H-I-K-L,A,H,E,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
297,A-B-E-G-H-I-J-L,A,G,E,I,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
298,A-B-E-G-H-I-J-K,A,G,E,K,B,H,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
299,A-B-E-F-I-J-K-L,A,F,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
300,A-B-E-F-H-J-K-L,F,H,E,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
301,A-B-E-F-H-I-K-L,F,H,E,K,B,A,I,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
302,A-B-E-F-H-I-J-L,F,H,E,I,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
303,A-B-E-F-H-I-J-K,F,H,E,K,B,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
304,A-B-E-F-G-J-K-L,F,G,E,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
305,A-B-E-F-G-I-K-L,A,F,E,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
306,A-B-E-F-G-I-J-L,F,G,E,I,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
307,A-B-E-F-G-I-J-K,F,G,E,K,B,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
308,A-B-E-F-G-H-K-L,F,H,E,K,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
309,A-B-E-F-G-H-J-L,F,G,H,E,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
310,A-B-E-F-G-H-J-K,F,G,H,K,B,A,J,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
311,A-B-E-F-G-H-I-L,F,H,E,I,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
312,A-B-E-F-G-H-I-K,F,H,E,K,B,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
313,A-B-E-F-G-H-I-J,F,G,H,I,B,A,J,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
314,A-B-D-H-I-J-K-L,D,H,I,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
315,A-B-D-G-I-J-K-L,D,G,I,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
316,A-B-D-G-H-J-K-L,D,G,H,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
317,A-B-D-G-H-I-K-L,D,H,I,K,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
318,A-B-D-G-H-I-J-L,D,G,H,I,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
319,A-B-D-G-H-I-J-K,D,G,H,K,B,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
320,A-B-D-F-I-J-K-L,D,F,I,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
321,A-B-D-F-H-J-K-L,D,F,H,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
322,A-B-D-F-H-I-K-L,D,F,H,K,B,A,I,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
323,A-B-D-F-H-I-J-L,D,F,H,I,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
324,A-B-D-F-H-I-J-K,D,F,H,K,B,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
325,A-B-D-F-G-J-K-L,D,G,F,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
326,A-B-D-F-G-I-K-L,D,F,I,K,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
327,A-B-D-F-G-I-J-L,D,G,F,I,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
328,A-B-D-F-G-I-J-K,D,G,F,K,B,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
329,A-B-D-F-G-H-K-L,D,F,H,K,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
330,A-B-D-F-G-H-J-L,D,F,H,J,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
331,A-B-D-F-G-H-J-K,D,F,H,K,B,A,G,J,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
332,A-B-D-F-G-H-I-L,D,F,H,I,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
333,A-B-D-F-G-H-I-K,D,F,H,K,B,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
334,A-B-D-F-G-H-I-J,D,F,H,J,B,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
335,A-B-D-E-I-J-K-L,A,D,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
336,A-B-D-E-H-J-K-L,D,H,E,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
337,A-B-D-E-H-I-K-L,D,H,E,K,B,A,I,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
338,A-B-D-E-H-I-J-L,D,H,E,I,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
339,A-B-D-E-H-I-J-K,D,H,E,K,B,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
340,A-B-D-E-G-J-K-L,D,G,E,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
341,A-B-D-E-G-I-K-L,A,D,E,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
342,A-B-D-E-G-I-J-L,D,G,E,I,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
343,A-B-D-E-G-I-J-K,D,G,E,K,B,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
344,A-B-D-E-G-H-K-L,D,H,E,K,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
345,A-B-D-E-G-H-J-L,D,G,H,E,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
346,A-B-D-E-G-H-J-K,D,G,H,K,B,A,J,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
347,A-B-D-E-G-H-I-L,D,H,E,I,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
348,A-B-D-E-G-H-I-K,D,H,E,K,B,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
349,A-B-D-E-G-H-I-J,D,G,H,I,B,A,J,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
350,A-B-D-E-F-J-K-L,D,F,E,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
351,A-B-D-E-F-I-K-L,D,F,E,K,B,A,I,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
352,A-B-D-E-F-I-J-L,D,F,E,I,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
353,A-B-D-E-F-I-J-K,D,F,E,K,B,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
354,A-B-D-E-F-H-K-L,D,F,H,K,B,A,E,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
355,A-B-D-E-F-H-J-L,D,F,H,E,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
356,A-B-D-E-F-H-J-K,D,F,H,K,B,A,J,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
357,A-B-D-E-F-H-I-L,D,F,H,I,B,A,E,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
358,A-B-D-E-F-H-I-K,D,F,H,K,B,A,E,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
359,A-B-D-E-F-H-I-J,D,F,H,I,B,A,J,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
360,A-B-D-E-F-G-K-L,D,F,E,K,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
361,A-B-D-E-F-G-J-L,D,F,E,J,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
362,A-B-D-E-F-G-J-K,D,F,E,K,B,A,G,J,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
363,A-B-D-E-F-G-I-L,D,F,E,I,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
364,A-B-D-E-F-G-I-K,D,F,E,K,B,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
365,A-B-D-E-F-G-I-J,D,F,E,J,B,A,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
366,A-B-D-E-F-G-H-L,D,F,H,E,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
367,A-B-D-E-F-G-H-K,D,F,H,K,B,A,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
368,A-B-D-E-F-G-H-J,D,F,H,J,B,A,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
369,A-B-D-E-F-G-H-I,D,F,H,I,B,A,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
370,A-B-C-H-I-J-K-L,C,H,I,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
371,A-B-C-G-I-J-K-L,C,G,I,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
372,A-B-C-G-H-J-K-L,C,G,H,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
373,A-B-C-G-H-I-K-L,C,H,I,K,B,A,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
374,A-B-C-G-H-I-J-L,C,G,H,I,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
375,A-B-C-G-H-I-J-K,C,G,H,K,B,A,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
376,A-B-C-F-I-J-K-L,C,F,I,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
377,A-B-C-F-H-J-K-L,C,F,H,K,B,A,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
