scenario_number,qualifying_groups,slot_74,slot_77,slot_79,slot_80,slot_81,slot_82,slot_85,slot_87,source_url
44,C-D-E-F-G-H-I-K,D,F,C,K,E,H,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
45,C-D-E-F-G-H-I-J,D,F,C,I,J,H,G,E,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
46,B-F-G-H-I-J-K-L,F,G,H,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
47,B-E-G-H-I-J-K-L,B,G,E,K,I,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
48,B-E-F-H-I-J-K-L,F,H,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
49,B-E-F-G-I-J-K-L,F,G,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
50,B-E-F-G-H-J-K-L,F,G,E,K,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
51,B-E-F-G-H-I-K-L,F,H,E,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
52,B-E-F-G-H-I-J-L,F,G,E,I,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
53,B-E-F-G-H-I-J-K,F,G,E,K,B,H,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
54,B-D-G-H-I-J-K-L,D,G,H,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
55,B-D-F-H-I-J-K-L,D,F,H,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
56,B-D-F-G-I-J-K-L,D,F,I,K,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
57,B-D-F-G-H-J-K-L,D,F,H,K,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
58,B-D-F-G-H-I-K-L,D,F,H,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
59,B-D-F-G-H-I-J-L,D,F,H,I,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
60,B-D-F-G-H-I-J-K,D,F,H,K,B,J,G,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
61,B-D-E-H-I-J-K-L,D,H,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
62,B-D-E-G-I-J-K-L,D,G,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
63,B-D-E-G-H-J-K-L,D,G,E,K,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
64,B-D-E-G-H-I-K-L,D,H,E,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
65,B-D-E-G-H-I-J-L,D,G,E,I,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
66,B-D-E-G-H-I-J-K,D,G,E,K,B,H,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
67,B-D-E-F-I-J-K-L,D,F,E,K,B,I,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
68,B-D-E-F-H-J-K-L,D,F,E,K,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
69,B-D-E-F-H-I-K-L,D,F,E,K,B,H,I,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
70,B-D-E-F-H-I-J-L,D,F,E,I,B,H,J,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
71,B-D-E-F-H-I-J-K,D,F,E,K,B,H,J,I,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
72,B-D-E-F-G-J-K-L,D,F,E,K,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
73,B-D-E-F-G-I-K-L,D,F,E,K,B,I,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
74,B-D-E-F-G-I-J-L,D,F,E,I,B,J,G,L,https://en.wikipedia.org/wiki/Template:2026_FIFA_World_Cup_third-place_table
